Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.
07/01/2024;9700;9600;9700;9475;283350000
31/12/2023;9575;9400;9600;9325;227730000
24/12/2023;9400;9375;9450;9325;222340000
17/12/2023;9325;9200;9350;9125;424760000
10/12/2023;9225;8675;9225;8675;632190000
03/12/2023;8750;8950;9025;8725;366180000
26/11/2023;8950;8900;8975;8850;445340000
19/11/2023;8925;8975;9025;8775;328690000
12/11/2023;9075;8875;9075;8850;292230000
05/11/2023;8825;8975;9050;8825;274310000
29/10/2023;8900;8700;8950;8600;300360000
22/10/2023;8700;8875;8950;8700;298000000
15/10/2023;8975;9125;9125;8725;337900000
08/10/2023;9075;9025;9125;8925;369580000
01/10/2023;9025;8900;9250;8875;431550000
24/09/2023;8825;9075;9075;8825;333560000
17/09/2023;9075;9050;9175;8975;208650000
10/09/2023;9000;9075;9125;9000;422890000
03/09/2023;9125;9225;9275;9050;274070000
27/08/2023;9225;9250;9300;9100;324340000
20/08/2023;9275;9225;9325;9150;307090000
13/08/2023;9250;9325;9375;9225;290570000
06/08/2023;9400;9150;9450;9150;340910000
30/07/2023;9150;9175;9300;9100;308530000
23/07/2023;9125;9200;9400;9100;451090000
16/07/2023;9150;9200;9250;9100;255670000
09/07/2023;9200;9100;9225;9025;255040000
02/07/2023;9025;9025;9150;9025;278710000
25/06/2023;9150;9025;9150;9025;72620000
18/06/2023;9050;9000;9150;8950;226810000
11/06/2023;9050;9150;9175;8975;327700000
04/06/2023;9100;9150;9325;9050;403050000
28/05/2023;9050;9250;9325;9050;611300000
21/05/2023;9150;9000;9200;8925;361320000
14/05/2023;9000;8875;9000;8700;284630000
07/05/2023;8800;9000;9075;8725;334070000
30/04/2023;9000;9100;9100;8875;290700000
23/04/2023;9050;9125;9200;9000;398840000
16/04/2023;9125;9025;9175;8900;175190000
09/04/2023;9000;8725;9000;8700;305160000
02/04/2023;8750;8825;8825;8650;184740000
26/03/2023;8750;8825;8900;8625;496450000
19/03/2023;8825;8400;8825;8375;283530000
12/03/2023;8375;8450;8625;8250;480970000
05/03/2023;8450;8550;8650;8350;364200000
26/02/2023;8475;8675;8775;8475;373650000
19/02/2023;8675;8725;8850;8625;230180000
12/02/2023;8725;8875;8950;8700;259930000
05/02/2023;8825;8750;8900;8650;409220000
29/01/2023;8700;8725;8775;8400;473150000
22/01/2023;8700;8300;8850;8200;356840000
15/01/2023;8300;8050;8375;8050;417280000
08/01/2023;8050;8325;8450;8000;506480000
01/01/2023;8300;8575;8600;8100;327950000
25/12/2022;8550;8500;8650;8500;189280000
18/12/2022;8500;8650;8700;8500;229150000
11/12/2022;8600;8525;8700;8400;491550000
04/12/2022;8575;8800;8900;8350;739770000
27/11/2022;8900;9050;9400;8850;817620000
20/11/2022;8975;8875;9000;8725;340510000
13/11/2022;8825;8875;8900;8550;409280000
06/11/2022;8850;8725;8925;8675;318980000
30/10/2022;8775;8850;9000;8675;412580000
23/10/2022;8750;8750;8900;8550;410130000
16/10/2022;8650;8250;8725;8175;423400000
09/10/2022;8250;8150;8375;8125;325330000
02/10/2022;8200;8450;8625;8200;415400000
25/09/2022;8550;8200;8575;8200;524120000
18/09/2022;8375;8475;8750;8375;405180000
11/09/2022;8450;8325;8875;8325;847060000
04/09/2022;8375;8225;8500;8200;455280000
28/08/2022;8225;8000;8275;7950;456840000
21/08/2022;8000;7850;8125;7825;457830000
14/08/2022;7900;7950;8050;7850;309300000
07/08/2022;7925;7875;7975;7725;415870000
31/07/2022;7875;7350;7875;7350;539250000
24/07/2022;7350;7350;7475;7250;352560000
17/07/2022;7325;7025;7400;7025;328810000
10/07/2022;7000;7200;7250;7000;283820000
03/07/2022;7150;7250;7325;7000;388650000
26/06/2022;7250;7475;7500;7250;442550000
19/06/2022;7475;7600;7650;7450;303880000
12/06/2022;7500;7300;7600;7250;547280000
05/06/2022;7350;7550;7600;7300;538890000
29/05/2022;7600;7575;7750;7475;621490000
22/05/2022;7575;7450;7575;7325;341400000
15/05/2022;7400;7275;7575;7275;540600000
08/05/2022;7325;7875;7900;7250;1340000000
24/04/2022;8125;7875;8250;7825;442830000
17/04/2022;7875;7700;7925;7625;506760000
10/04/2022;7700;7825;7875;7700;287210000
03/04/2022;7850;7925;7925;7700;363520000
27/03/2022;7925;7825;8075;7800;435790000
20/03/2022;7950;7800;7950;7800;408050000
13/03/2022;7900;8050;8300;7900;615830000
06/03/2022;7950;7800;7975;7650;530600000
27/02/2022;7900;8000;8225;7900;369900000
20/02/2022;8050;7925;8175;7850;484010000
13/02/2022;7925;7750;7975;7700;295900000
06/02/2022;7825;7775;7950;7650;392860000
30/01/2022;7725;7775;7825;7625;207860000
23/01/2022;7775;7825;7850;7625;342970000
16/01/2022;7950;7900;7950;7550;319060000
09/01/2022;7850;7575;7850;7550;334220000
02/01/2022;7650;7325;7700;7300;408170000
26/12/2021;7300;7300;7400;7300;152100000
19/12/2021;7300;7350;7425;7300;228310000
12/12/2021;7500;7375;7500;7275;364490000
05/12/2021;7375;7450;7475;7275;328960000
28/11/2021;7375;7275;7525;7175;439480000
21/11/2021;7275;7425;7575;7250;298490000
14/11/2021;7425;7625;7625;7325;374970000
07/11/2021;7525;7500;7750;7450;343110000
31/10/2021;7450;7550;7550;7250;294950000
24/10/2021;7475;7400;7600;7350;323410000
17/10/2021;7525;7650;7675;7350;454100000
10/10/2021;7650;7240;8250;7230;630350000
03/10/2021;7290;6740;7300;6740;505920000
26/09/2021;6760;6585;7000;6500;470120000
19/09/2021;6585;6570;6590;6470;320530000
12/09/2021;6520;6560;6595;6480;302650000
05/09/2021;6520;6600;6605;6410;320130000
29/08/2021;6600;6530;6600;6455;346320000
22/08/2021;6510;6515;6605;6470;354480000
15/08/2021;6600;6420;6760;6305;476730000
08/08/2021;6410;6135;6435;6105;318560000
01/08/2021;6160;6060;6360;5905;432220000
25/07/2021;5970;6040;6100;5960;365700000
18/07/2021;6035;6110;6190;6005;242860000
11/07/2021;6110;6070;6180;5980;288970000
04/07/2021;6020;6100;6180;5980;197590000
27/06/2021;6100;6100;6150;6000;329460000
20/06/2021;6190;6300;6390;6190;304050000
13/06/2021;6325;6520;6520;6275;384750000
06/06/2021;6470;6560;6620;6360;350160000
30/05/2021;6580;6360;6620;6325;439090000
23/05/2021;6340;6355;6480;6270;786760000
16/05/2021;6360;6500;6500;6260;425100000
09/05/2021;6480;6400;6480;6305;138860000
02/05/2021;6400;6480;6480;6340;230850000
25/04/2021;6405;6395;6460;6280;452240000
18/04/2021;6390;6275;6395;6165;360470000
11/04/2021;6275;6295;6370;5980;547120000
04/04/2021;6200;6250;6320;6080;502090000
28/03/2021;6225;6410;6515;6145;532160000
21/03/2021;6415;6640;6720;6300;600910000
14/03/2021;6760;6815;6820;6605;395570000
07/03/2021;6765;6950;6950;6600;351100000
28/02/2021;6800;6830;7160;6720;604130000
21/02/2021;6710;6900;6940;6645;451460000
14/02/2021;6825;6830;6960;6720;358850000
07/02/2021;6880;7050;7055;6840;203090000
31/01/2021;6915;6760;7000;6595;399710000
24/01/2021;6760;7200;7200;6705;510800000
17/01/2021;7080;6955;7300;6845;414590000
10/01/2021;6955;7150;7380;6840;520020000
03/01/2021;7050;6800;7090;6720;388920000
27/12/2020;6770;6790;6820;6660;147120000
20/12/2020;6725;6890;6905;6620;232430000
13/12/2020;6800;6800;7000;6605;721640000
06/12/2020;6735;6500;6780;6425;532780000
29/11/2020;6390;6385;6525;6135;764760000
22/11/2020;6385;6600;6610;6300;469460000
15/11/2020;6600;6485;6650;6385;490290000
08/11/2020;6390;6300;6600;6215;570650000
01/11/2020;6300;5760;6300;5720;606180000
25/10/2020;5790;5725;5835;5725;159930000
18/10/2020;5770;5750;5900;5705;373010000
11/10/2020;5760;5840;5900;5730;385400000
04/10/2020;5775;5515;5800;5460;421820000
27/09/2020;5505;5650;5695;5420;442420000
20/09/2020;5610;5640;5735;5390;565730000
13/09/2020;5630;6000;6115;5570;922480000
06/09/2020;5905;6335;6360;5620;731950000
30/08/2020;6380;6500;6560;6240;379360000
23/08/2020;6495;6340;6600;6280;279700000
16/08/2020;6330;6405;6425;6300;140360000
09/08/2020;6405;6180;6405;6105;218080000
02/08/2020;6180;6220;6295;5825;364710000
26/07/2020;6240;6100;6240;6000;238050000
19/07/2020;6100;6120;6250;6060;331070000
12/07/2020;6120;6230;6240;6040;332960000
05/07/2020;6200;5860;6265;5850;409180000
28/06/2020;5870;5640;5905;5585;315030000
21/06/2020;5645;5595;5760;5520;287760000
14/06/2020;5575;5680;5800;5500;450270000
07/06/2020;5670;5755;5995;5480;570280000
31/05/2020;5725;5260;5990;5240;785360000
24/05/2020;5190;4775;5320;4775;956480000
17/05/2020;4765;4800;4960;4680;387660000
10/05/2020;4785;5245;5340;4680;591310000
03/05/2020;5245;5150;5400;5000;442560000
26/04/2020;5170;4940;5250;4800;626830000
19/04/2020;4920;5430;5500;4920;508010000
12/04/2020;5425;5540;5630;5185;587110000
05/04/2020;5595;5520;6100;5480;423450000
29/03/2020;5495;5480;5750;5155;742560000
22/03/2020;5510;4760;5895;4405;1070000000
15/03/2020;4735;5660;5660;4325;1140000000
08/03/2020;5660;6000;6040;5175;709300000
01/03/2020;6200;6290;6540;6035;497980000
23/02/2020;6290;6565;6600;6035;563380000
16/02/2020;6615;6680;6760;6565;523340000
09/02/2020;6680;6760;6820;6630;410840000
02/02/2020;6760;6480;6780;6370;623420000
26/01/2020;6480;6865;6940;6480;401240000
19/01/2020;6810;6950;6975;6810;449230000
12/01/2020;6875;6740;7060;6735;364240000
05/01/2020;6725;6720;6825;6670;239740000
29/12/2019;6800;6680;6800;6670;158370000
22/12/2019;6695;6680;6730;6650;114690000
15/12/2019;6660;6340;6800;6340;537030000
08/12/2019;6360;6370;6420;6340;307810000
01/12/2019;6395;6280;6425;6270;254370000
24/11/2019;6280;6330;6335;6225;403950000
17/11/2019;6305;6245;6350;6210;282500000
10/11/2019;6275;6335;6340;6210;242930000
03/11/2019;6280;6350;6380;6250;325360000
27/10/2019;6325;6200;6325;6150;284350000
20/10/2019;6200;6200;6325;6175;324480000
13/10/2019;6160;6130;6215;6105;230900000
06/10/2019;6125;6070;6155;6015;251870000
29/09/2019;6045;6070;6070;5950;272980000
22/09/2019;6070;6030;6075;5780;373440000
15/09/2019;5990;6000;6050;5985;393420000
08/09/2019;6030;6050;6105;5980;179900000
01/09/2019;6025;6100;6100;6000;235150000
25/08/2019;6100;5940;6100;5860;346030000
18/08/2019;5995;6030;6035;5905;243910000
11/08/2019;5960;6070;6080;5860;321440000
04/08/2019;6065;6215;6215;5765;472740000
28/07/2019;6165;6220;6270;6160;312080000
21/07/2019;6195;6260;6290;6165;233060000
14/07/2019;6200;6060;6210;6035;232610000
07/07/2019;6010;5935;6040;5865;202400000
30/06/2019;5970;5995;6025;5940;209760000
23/06/2019;5995;5895;5995;5805;288420000
16/06/2019;5880;5810;5960;5790;433010000
09/06/2019;5800;6000;6190;5790;457420000
26/05/2019;5820;5535;5895;5530;508410000
19/05/2019;5610;5180;5630;5140;282980000
12/05/2019;5180;5680;5695;5180;412730000
05/05/2019;5610;5600;5710;5595;357660000
28/04/2019;5675;5610;5810;5595;312210000
21/04/2019;5620;5625;5710;5525;286150000
14/04/2019;5625;5560;5805;5475;268500000
07/04/2019;5510;5505;5560;5450;219600000
31/03/2019;5505;5550;5570;5475;203250000
24/03/2019;5550;5440;5550;5425;230160000
17/03/2019;5490;5555;5560;5460;328220000
10/03/2019;5500;5530;5550;5450;331730000
03/03/2019;5440;5520;5570;5440;209310000
24/02/2019;5540;5490;5600;5455;396810000
17/02/2019;5490;5410;5595;5380;319880000
10/02/2019;5360;5520;5530;5335;426720000
03/02/2019;5520;5635;5635;5495;364810000
27/01/2019;5635;5515;5750;5440;417290000
20/01/2019;5500;5425;5620;5355;453260000
13/01/2019;5425;5220;5425;5150;462810000
06/01/2019;5250;5265;5325;5190;423700000
30/12/2018;5205;5200;5245;5115;159780000
23/12/2018;5200;5170;5255;5140;171240000
16/12/2018;5170;5185;5230;4980;520130000
09/12/2018;5165;5120;5205;5120;564580000
02/12/2018;5190;5215;5395;5100;441670000
25/11/2018;5210;4960;5240;4960;520900000
18/11/2018;5020;5000;5090;4940;356440000
11/11/2018;4965;4830;4980;4670;416100000
04/11/2018;4800;4800;4945;4780;417720000
28/10/2018;4800;4660;4835;4620;464300000
21/10/2018;4720;4675;4720;4435;356870000
14/10/2018;4675;4700;4835;4645;226340000
07/10/2018;4650;4615;4825;4495;338500000
30/09/2018;4610;4800;4840;4595;286670000
23/09/2018;4830;4780;4860;4760;342360000
16/09/2018;4740;4750;4850;4740;438990000
09/09/2018;4795;4920;4965;4740;321120000
02/09/2018;4970;5010;5040;4720;344190000
26/08/2018;4960;5020;5070;4895;450170000
19/08/2018;5015;4700;5095;4685;414610000
12/08/2018;4675;4705;4780;4605;275950000
05/08/2018;4775;4680;4820;4680;388380000
29/07/2018;4690;4680;4780;4530;284230000
22/07/2018;4645;4640;4725;4620;309540000
15/07/2018;4620;4610;4640;4505;316010000
08/07/2018;4605;4240;4615;4215;445200000
01/07/2018;4185;4330;4330;4120;266230000
24/06/2018;4295;4385;4495;4165;421870000
17/06/2018;4385;4400;4405;4220;440540000
03/06/2018;4450;4590;4630;4420;436260000
27/05/2018;4540;4500;4600;4480;351890000
20/05/2018;4510;4310;4535;4295;366120000
13/05/2018;4340;4490;4595;4340;447850000
06/05/2018;4550;4410;4610;4305;271890000
29/04/2018;4405;4300;4580;4290;385600000
22/04/2018;4300;4640;4640;4210;472370000
15/04/2018;4640;4575;4640;4540;283850000
08/04/2018;4580;4570;4730;4515;288570000
01/04/2018;4545;4690;4700;4520;213760000
25/03/2018;4660;4680;4755;4565;280360000
18/03/2018;4760;4660;4760;4600;355270000
11/03/2018;4670;4680;4740;4600;500230000
04/03/2018;4660;4630;4680;4505;439590000
25/02/2018;4575;4830;4845;4550;582510000
18/02/2018;4850;4735;4895;4730;276960000
11/02/2018;4690;4760;4785;4690;226330000
04/02/2018;4715;4750;4805;4660;428580000
28/01/2018;4795;4560;4940;4510;572350000
21/01/2018;4540;4510;4570;4485;356150000
14/01/2018;4490;4490;4540;4430;410360000
